Sl. No. Col (1),Age Group & Gender Col (2),Unrecovered Persons of Previous Years - Col (3),Persons Missing during 2021 - Col (4),Total Missing (3+4) - Col (5),Persons Traced - from Previous Years Missing - Col (6),Persons Traced - from Missing Persons 2021 - Col (7),Persons Traced - Total Traced - Col (8),% of Persons Traced (Col.8/Col.5 * 100) - Col (9),Persons Untraced - from Previous Years Missing - Col (10),Persons Untraced - from Missing Persons 2021 - Col (11),Persons Untraced - Total Traced - Col (12)
1,Total Male,138066,124177,262243,37870,85846,123716,47.2,100196,38331,138527
1.1.1,Boys Below 12 Yrs,3039,5375,8414,776,4215,4991,59.3,2263,1160,3423
1.1.2,Boys 12 Yrs - 16 Yrs,4416,5871,10287,1431,4609,6040,58.7,2985,1262,4247
1.1.3,Boys 16 Yrs - 18 Yrs,5792,6731,12523,1908,4906,6814,54.4,3884,1825,5709
1.1,Boys/Male Children,13247,17977,31224,4115,13730,17845,57.2,9132,4247,13379
1.2,Adult Male (18 Yrs & Above),124819,106200,231019,33755,72116,105871,45.8,91064,34084,125148
2,Total Female,199690,265481,465171,70857,190421,261278,56.2,128833,75060,203893
2.1.1,Girls Below 12 Yrs,3255,6004,9259,1332,4572,5904,63.8,1923,1432,3355
2.1.2,Girls 12 Yrs - 16 Yrs,9189,19797,28986,3539,15506,19045,65.7,5650,4291,9941
2.1.3,Girls 16 Yrs - 18 Yrs,18125,33743,51868,8146,25885,34031,65.6,9979,7858,17837
2.1,Girls/Female Children,30569,59544,90113,13017,45963,58980,65.5,17552,13581,31133
2.2,Adult Female (18 Yrs & Above),169121,205937,375058,57840,144458,202298,53.9,111281,61479,172760
3,Total Transgender,4,186,190,2,128,130,68.4,2,58,60
3.1.1,Trans Below 12 Yrs,0,7,7,0,2,2,28.6,0,5,5
3.1.2,Trans 12 Yrs - 16 Yrs,0,4,4,0,0,0,0,0,4,4
3.1.3,Trans 16 Yrs - 18 Yrs,0,3,3,0,0,0,0,0,3,3
3.1,Trans Children,0,14,14,0,2,2,14.3,0,12,12
3.2,Adult Transdender (18 Yrs & Above),4,172,176,2,126,128,72.7,2,46,48
4,Grand Total (Male + Female+ Transgender),337760,389844,727604,108729,276395,385124,52.9,229031,113449,342480
4.1.1,Total Below 12 Yrs,6294,11386,17680,2108,8789,10897,61.6,4186,2597,6783
4.1.2,Total 12 Yrs - 16 Yrs,13605,25672,39277,4970,20115,25085,63.9,8635,5557,14192
4.1.3,Total 16 Yrs - 18 Yrs,23917,40477,64394,10054,30791,40845,63.4,13863,9686,23549
4.1,Total Children,43816,77535,121351,17132,59695,76827,63.3,26684,17840,44524
4.2,Total Adults (18 Yrs & Above),293944,312309,606253,91597,216700,308297,50.9,202347,95609,297956
